Temperature	Pressure	Property	Source Model
-47.576444	8.435660	  Spinodal	      Evan TIP4P2005
-41.242173	7.529540	  Spinodal	      Evan TIP4P2005
-34.708607	8.048340	  Spinodal	      Evan TIP4P2005
-28.335148	7.884180	  Spinodal	      Evan TIP4P2005
-21.609456	9.999180	  Spinodal	      Evan TIP4P2005
-15.475594	8.977870	  Spinodal	      Evan TIP4P2005
-9.422647	7.781250	  Spinodal	      Evan TIP4P2005
-3.194415	7.857270	  Spinodal	      Evan TIP4P2005
3.072396	8.423920	  Spinodal	      Evan TIP4P2005
8.914028	6.909210	  Spinodal	      Evan TIP4P2005
14.947120	6.752590	  Spinodal	      Evan TIP4P2005
20.874261	6.306400	  Spinodal	      Evan TIP4P2005
26.730041	5.768910	  Spinodal	      Evan TIP4P2005
32.717627	6.248770	  Spinodal	      Evan TIP4P2005
38.711324	7.056350	  Spinodal	      Evan TIP4P2005
44.468510	6.889200	  Spinodal	      Evan TIP4P2005
50.330990	7.592430	  Spinodal	      Evan TIP4P2005
56.165144	8.447430	  Spinodal	      Evan TIP4P2005
62.225948	10.805600	  Spinodal	      Evan TIP4P2005
67.987184	11.879350	  Spinodal	      Evan TIP4P2005
73.801616	13.539700	  Spinodal	      Evan TIP4P2005
79.574580	15.289120	  Spinodal	      Evan TIP4P2005
-136.341140	-0.000000	  Spinodal	     TSEOS TIP4P2005
-134.961742	-0.000000	  Spinodal	     TSEOS TIP4P2005
-133.583183	0.000000	  Spinodal	     TSEOS TIP4P2005
-132.205474	0.000000	  Spinodal	     TSEOS TIP4P2005
-130.828631	0.000000	  Spinodal	     TSEOS TIP4P2005
-129.452668	0.000000	  Spinodal	     TSEOS TIP4P2005
-128.077596	0.000000	  Spinodal	     TSEOS TIP4P2005
-126.703431	0.000000	  Spinodal	     TSEOS TIP4P2005
-125.330186	0.000000	  Spinodal	     TSEOS TIP4P2005
-123.957873	0.000000	  Spinodal	     TSEOS TIP4P2005
-122.586508	0.000000	  Spinodal	     TSEOS TIP4P2005
-121.216102	0.000000	  Spinodal	     TSEOS TIP4P2005
-119.846670	0.000000	  Spinodal	     TSEOS TIP4P2005
-118.478224	0.000000	  Spinodal	     TSEOS TIP4P2005
-117.110778	0.000000	  Spinodal	     TSEOS TIP4P2005
-115.744345	0.000000	  Spinodal	     TSEOS TIP4P2005
-114.378939	0.000000	  Spinodal	     TSEOS TIP4P2005
-113.014571	0.000000	  Spinodal	     TSEOS TIP4P2005
-111.651256	0.000000	  Spinodal	     TSEOS TIP4P2005
-110.289005	0.000000	  Spinodal	     TSEOS TIP4P2005
-108.927833	0.000000	  Spinodal	     TSEOS TIP4P2005
-107.567752	0.000000	  Spinodal	     TSEOS TIP4P2005
-106.208775	-0.000000	  Spinodal	     TSEOS TIP4P2005
-104.850915	0.000000	  Spinodal	     TSEOS TIP4P2005
-103.494184	0.000000	  Spinodal	     TSEOS TIP4P2005
-102.138595	0.000000	  Spinodal	     TSEOS TIP4P2005
-100.784160	-0.000000	  Spinodal	     TSEOS TIP4P2005
-99.430894	0.000000	  Spinodal	     TSEOS TIP4P2005
-98.078807	0.000000	  Spinodal	     TSEOS TIP4P2005
-96.727912	0.000000	  Spinodal	     TSEOS TIP4P2005
-95.378223	0.000000	  Spinodal	     TSEOS TIP4P2005
-94.029750	0.000000	  Spinodal	     TSEOS TIP4P2005
-92.682508	0.000000	  Spinodal	     TSEOS TIP4P2005
-91.336507	-0.000000	  Spinodal	     TSEOS TIP4P2005
-89.991761	-0.000000	  Spinodal	     TSEOS TIP4P2005
-88.648282	0.000000	  Spinodal	     TSEOS TIP4P2005
-87.306081	0.000000	  Spinodal	     TSEOS TIP4P2005
-85.965172	0.000000	  Spinodal	     TSEOS TIP4P2005
-84.625565	0.000000	  Spinodal	     TSEOS TIP4P2005
-83.287273	0.000000	  Spinodal	     TSEOS TIP4P2005
-81.950309	0.000000	  Spinodal	     TSEOS TIP4P2005
-80.614684	-0.000000	  Spinodal	     TSEOS TIP4P2005
-79.280410	0.000000	  Spinodal	     TSEOS TIP4P2005
-77.947498	0.000000	  Spinodal	     TSEOS TIP4P2005
-76.615962	0.000000	  Spinodal	     TSEOS TIP4P2005
-75.285812	0.000000	  Spinodal	     TSEOS TIP4P2005
-73.957061	0.000000	  Spinodal	     TSEOS TIP4P2005
-72.629719	-0.000000	  Spinodal	     TSEOS TIP4P2005
-71.303800	0.000000	  Spinodal	     TSEOS TIP4P2005
-69.979314	-0.000000	  Spinodal	     TSEOS TIP4P2005
-68.656272	0.000000	  Spinodal	     TSEOS TIP4P2005
-67.334687	0.000000	  Spinodal	     TSEOS TIP4P2005
-66.014570	0.000000	  Spinodal	     TSEOS TIP4P2005
-64.695933	0.000000	  Spinodal	     TSEOS TIP4P2005
-63.378786	0.000000	  Spinodal	     TSEOS TIP4P2005
-62.063141	0.000000	  Spinodal	     TSEOS TIP4P2005
-60.749010	0.000000	  Spinodal	     TSEOS TIP4P2005
-59.436404	-0.000000	  Spinodal	     TSEOS TIP4P2005
-58.125333	-0.000000	  Spinodal	     TSEOS TIP4P2005
-56.815809	0.000000	  Spinodal	     TSEOS TIP4P2005
-55.507844	0.000000	  Spinodal	     TSEOS TIP4P2005
-54.201448	0.000000	  Spinodal	     TSEOS TIP4P2005
-52.896632	0.000000	  Spinodal	     TSEOS TIP4P2005
-51.593408	-0.000000	  Spinodal	     TSEOS TIP4P2005
-50.291785	0.000000	  Spinodal	     TSEOS TIP4P2005
-48.991776	0.000000	  Spinodal	     TSEOS TIP4P2005
-47.693391	-0.000000	  Spinodal	     TSEOS TIP4P2005
-46.396640	0.000000	  Spinodal	     TSEOS TIP4P2005
-45.101535	-0.000000	  Spinodal	     TSEOS TIP4P2005
-43.808086	0.000000	  Spinodal	     TSEOS TIP4P2005
-42.516304	0.000000	  Spinodal	     TSEOS TIP4P2005
-41.226199	0.000000	  Spinodal	     TSEOS TIP4P2005
-39.937782	-0.000000	  Spinodal	     TSEOS TIP4P2005
-38.651064	0.000000	  Spinodal	     TSEOS TIP4P2005
-37.366054	-0.000000	  Spinodal	     TSEOS TIP4P2005
-36.082764	0.000000	  Spinodal	     TSEOS TIP4P2005
-34.801203	0.000000	  Spinodal	     TSEOS TIP4P2005
-33.521383	0.000000	  Spinodal	     TSEOS TIP4P2005
-32.243312	0.000000	  Spinodal	     TSEOS TIP4P2005
-30.967002	0.000000	  Spinodal	     TSEOS TIP4P2005
-29.692463	0.000000	  Spinodal	     TSEOS TIP4P2005
-28.419704	-0.000000	  Spinodal	     TSEOS TIP4P2005
-27.148735	0.000000	  Spinodal	     TSEOS TIP4P2005
-25.879568	0.000000	  Spinodal	     TSEOS TIP4P2005
-24.612211	-0.000000	  Spinodal	     TSEOS TIP4P2005
-23.346674	0.000000	  Spinodal	     TSEOS TIP4P2005
-22.082967	0.000000	  Spinodal	     TSEOS TIP4P2005
-20.821101	0.000000	  Spinodal	     TSEOS TIP4P2005
-19.561084	0.000000	  Spinodal	     TSEOS TIP4P2005
-18.302927	0.000000	  Spinodal	     TSEOS TIP4P2005
-17.046639	0.000000	  Spinodal	     TSEOS TIP4P2005
-15.792229	0.000000	  Spinodal	     TSEOS TIP4P2005
-14.539708	0.000000	  Spinodal	     TSEOS TIP4P2005
-13.289083	0.000000	  Spinodal	     TSEOS TIP4P2005
-12.040366	0.000000	  Spinodal	     TSEOS TIP4P2005
-10.793565	0.000000	  Spinodal	     TSEOS TIP4P2005
-9.548689	-0.000000	  Spinodal	     TSEOS TIP4P2005
-8.305748	0.000000	  Spinodal	     TSEOS TIP4P2005
-7.064751	0.000000	  Spinodal	     TSEOS TIP4P2005
-5.825706	0.000000	  Spinodal	     TSEOS TIP4P2005
-4.588624	0.000000	  Spinodal	     TSEOS TIP4P2005
-3.353512	0.000000	  Spinodal	     TSEOS TIP4P2005
-2.120380	0.000000	  Spinodal	     TSEOS TIP4P2005
-0.889237	0.000000	  Spinodal	     TSEOS TIP4P2005
0.339909	0.000000	  Spinodal	     TSEOS TIP4P2005
1.567050	0.000000	  Spinodal	     TSEOS TIP4P2005
2.792175	0.000000	  Spinodal	     TSEOS TIP4P2005
4.015277	0.000000	  Spinodal	     TSEOS TIP4P2005
5.236347	0.000000	  Spinodal	     TSEOS TIP4P2005
6.455377	0.000000	  Spinodal	     TSEOS TIP4P2005
7.672359	0.000000	  Spinodal	     TSEOS TIP4P2005
8.887283	0.000000	  Spinodal	     TSEOS TIP4P2005
10.100143	0.000000	  Spinodal	     TSEOS TIP4P2005
11.310929	-0.000000	  Spinodal	     TSEOS TIP4P2005
12.519633	-0.000000	  Spinodal	     TSEOS TIP4P2005
13.726248	0.000000	  Spinodal	     TSEOS TIP4P2005
14.930765	-0.000000	  Spinodal	     TSEOS TIP4P2005
16.133177	0.000000	  Spinodal	     TSEOS TIP4P2005
17.333475	0.000000	  Spinodal	     TSEOS TIP4P2005
18.531653	0.000000	  Spinodal	     TSEOS TIP4P2005
19.727701	0.000000	  Spinodal	     TSEOS TIP4P2005
20.921613	0.000000	  Spinodal	     TSEOS TIP4P2005
22.113381	0.000000	  Spinodal	     TSEOS TIP4P2005
23.302998	0.000000	  Spinodal	     TSEOS TIP4P2005
24.490456	0.000000	  Spinodal	     TSEOS TIP4P2005
25.675748	-0.000000	  Spinodal	     TSEOS TIP4P2005
26.858866	0.000000	  Spinodal	     TSEOS TIP4P2005
28.039804	0.000000	  Spinodal	     TSEOS TIP4P2005
29.218553	-0.000000	  Spinodal	     TSEOS TIP4P2005
30.395108	-0.000000	  Spinodal	     TSEOS TIP4P2005
31.569462	-0.000000	  Spinodal	     TSEOS TIP4P2005
32.741606	0.000000	  Spinodal	     TSEOS TIP4P2005
33.911535	0.000000	  Spinodal	     TSEOS TIP4P2005
35.079242	0.000000	  Spinodal	     TSEOS TIP4P2005
36.244720	0.000000	  Spinodal	     TSEOS TIP4P2005
37.407963	0.000000	  Spinodal	     TSEOS TIP4P2005
38.568964	0.000000	  Spinodal	     TSEOS TIP4P2005
39.727716	0.000000	  Spinodal	     TSEOS TIP4P2005
40.884214	0.000000	  Spinodal	     TSEOS TIP4P2005
42.038451	0.000000	  Spinodal	     TSEOS TIP4P2005
43.190421	0.000000	  Spinodal	     TSEOS TIP4P2005
44.340118	0.000000	  Spinodal	     TSEOS TIP4P2005
45.487536	0.000000	  Spinodal	     TSEOS TIP4P2005
46.632669	0.000000	  Spinodal	     TSEOS TIP4P2005
47.775511	0.000000	  Spinodal	     TSEOS TIP4P2005
48.916056	-0.000000	  Spinodal	     TSEOS TIP4P2005
50.054299	0.000000	  Spinodal	     TSEOS TIP4P2005
51.190235	0.000000	  Spinodal	     TSEOS TIP4P2005
52.323857	0.000000	  Spinodal	     TSEOS TIP4P2005
53.455160	0.000000	  Spinodal	     TSEOS TIP4P2005
54.584139	0.000000	  Spinodal	     TSEOS TIP4P2005
55.710790	0.000000	  Spinodal	     TSEOS TIP4P2005
56.835105	0.000000	  Spinodal	     TSEOS TIP4P2005
57.957082	-0.000000	  Spinodal	     TSEOS TIP4P2005
59.076714	0.000000	  Spinodal	     TSEOS TIP4P2005
60.193996	0.000000	  Spinodal	     TSEOS TIP4P2005
61.308925	0.000000	  Spinodal	     TSEOS TIP4P2005
62.421495	0.000000	  Spinodal	     TSEOS TIP4P2005
63.531702	0.000000	  Spinodal	     TSEOS TIP4P2005
64.639541	-0.000000	  Spinodal	     TSEOS TIP4P2005
65.745008	0.000000	  Spinodal	     TSEOS TIP4P2005
66.848098	-0.000000	  Spinodal	     TSEOS TIP4P2005
67.948808	-0.000000	  Spinodal	     TSEOS TIP4P2005
69.047132	0.000000	  Spinodal	     TSEOS TIP4P2005
70.143068	0.000000	  Spinodal	     TSEOS TIP4P2005
71.236611	0.000000	  Spinodal	     TSEOS TIP4P2005
72.327758	0.000000	  Spinodal	     TSEOS TIP4P2005
73.416504	0.000000	  Spinodal	     TSEOS TIP4P2005
74.502846	0.000000	  Spinodal	     TSEOS TIP4P2005
75.586780	0.000000	  Spinodal	     TSEOS TIP4P2005
76.668303	0.000000	  Spinodal	     TSEOS TIP4P2005
-16.011553	104.454000	      Tmin	     TSEOS TIP4P2005
-17.955967	109.001211	      Tmin	     TSEOS TIP4P2005
-20.338299	114.355236	      Tmin	     TSEOS TIP4P2005
-21.823210	118.237007	      Tmin	     TSEOS TIP4P2005
-22.989792	121.598334	      Tmin	     TSEOS TIP4P2005
-23.976917	124.667210	      Tmin	     TSEOS TIP4P2005
-24.844593	127.542056	      Tmin	     TSEOS TIP4P2005
-25.625287	130.276068	      Tmin	     TSEOS TIP4P2005
-26.338895	132.901808	      Tmin	     TSEOS TIP4P2005
-26.998675	135.440953	      Tmin	     TSEOS TIP4P2005
-27.613979	137.908780	      Tmin	     TSEOS TIP4P2005
-28.191695	140.316526	      Tmin	     TSEOS TIP4P2005
-28.737074	142.672745	      Tmin	     TSEOS TIP4P2005
-29.254214	144.984107	      Tmin	     TSEOS TIP4P2005
-29.746405	147.255960	      Tmin	     TSEOS TIP4P2005
-30.216326	149.492653	      Tmin	     TSEOS TIP4P2005
-30.666191	151.697777	      Tmin	     TSEOS TIP4P2005
-31.097858	153.874339	      Tmin	     TSEOS TIP4P2005
-31.512892	156.024866	      Tmin	     TSEOS TIP4P2005
-31.912657	158.151562	      Tmin	     TSEOS TIP4P2005
-32.298308	160.256287	      Tmin	     TSEOS TIP4P2005
-32.670864	162.340682	      Tmin	     TSEOS TIP4P2005
-33.031228	164.406195	      Tmin	     TSEOS TIP4P2005
-33.380174	166.454070	      Tmin	     TSEOS TIP4P2005
-33.718414	168.485444	      Tmin	     TSEOS TIP4P2005
-34.046562	170.501296	      Tmin	     TSEOS TIP4P2005
-34.365185	172.502531	      Tmin	     TSEOS TIP4P2005
-34.674788	174.489955	      Tmin	     TSEOS TIP4P2005
-34.975830	176.464293	      Tmin	     TSEOS TIP4P2005
-35.268726	178.426206	      Tmin	     TSEOS TIP4P2005
-35.553853	180.376287	      Tmin	     TSEOS TIP4P2005
-35.831562	182.315092	      Tmin	     TSEOS TIP4P2005
-36.102168	184.243114	      Tmin	     TSEOS TIP4P2005
-36.365965	186.160815	      Tmin	     TSEOS TIP4P2005
-36.623221	188.068616	      Tmin	     TSEOS TIP4P2005
-36.874188	189.966911	      Tmin	     TSEOS TIP4P2005
-37.119096	191.856057	      Tmin	     TSEOS TIP4P2005
-37.358166	193.736399	      Tmin	     TSEOS TIP4P2005
-37.591590	195.608233	      Tmin	     TSEOS TIP4P2005
-37.819556	197.471851	      Tmin	     TSEOS TIP4P2005
-38.042248	199.327539	      Tmin	     TSEOS TIP4P2005
-38.259815	201.175519	      Tmin	     TSEOS TIP4P2005
-38.472433	203.016072	      Tmin	     TSEOS TIP4P2005
-38.680218	204.849364	      Tmin	     TSEOS TIP4P2005
-38.883320	206.675629	      Tmin	     TSEOS TIP4P2005
-39.081873	208.495075	      Tmin	     TSEOS TIP4P2005
-39.275989	210.307865	      Tmin	     TSEOS TIP4P2005
-39.465796	212.114204	      Tmin	     TSEOS TIP4P2005
-39.651375	213.914196	      Tmin	     TSEOS TIP4P2005
-39.832854	215.708051	      Tmin	     TSEOS TIP4P2005
-40.010326	217.495903	      Tmin	     TSEOS TIP4P2005
-40.183875	219.277876	      Tmin	     TSEOS TIP4P2005
-40.353603	221.054130	      Tmin	     TSEOS TIP4P2005
-40.519584	222.824768	      Tmin	     TSEOS TIP4P2005
-40.681891	224.589896	      Tmin	     TSEOS TIP4P2005
-40.840620	226.349667	      Tmin	     TSEOS TIP4P2005
-40.995831	228.104164	      Tmin	     TSEOS TIP4P2005
-41.147598	229.853496	      Tmin	     TSEOS TIP4P2005
-41.295988	231.597766	      Tmin	     TSEOS TIP4P2005
-41.441064	233.337064	      Tmin	     TSEOS TIP4P2005
-41.582894	235.071493	      Tmin	     TSEOS TIP4P2005
-41.721527	236.801121	      Tmin	     TSEOS TIP4P2005
-41.857036	238.526062	      Tmin	     TSEOS TIP4P2005
-41.989462	240.246371	      Tmin	     TSEOS TIP4P2005
-42.118866	241.962140	      Tmin	     TSEOS TIP4P2005
-42.245293	243.673434	      Tmin	     TSEOS TIP4P2005
-42.368796	245.380328	      Tmin	     TSEOS TIP4P2005
-42.489426	247.082904	      Tmin	     TSEOS TIP4P2005
-42.607227	248.781222	      Tmin	     TSEOS TIP4P2005
-42.722245	250.475352	      Tmin	     TSEOS TIP4P2005
-42.834519	252.165349	      Tmin	     TSEOS TIP4P2005
-42.944095	253.851281	      Tmin	     TSEOS TIP4P2005
-43.051012	255.533205	      Tmin	     TSEOS TIP4P2005
-43.155311	257.211182	      Tmin	     TSEOS TIP4P2005
-43.257030	258.885266	      Tmin	     TSEOS TIP4P2005
-43.356209	260.555523	      Tmin	     TSEOS TIP4P2005
-43.452880	262.221994	      Tmin	     TSEOS TIP4P2005
-43.547083	263.884740	      Tmin	     TSEOS TIP4P2005
-43.638849	265.543805	      Tmin	     TSEOS TIP4P2005
-43.728209	267.199236	      Tmin	     TSEOS TIP4P2005
-43.815201	268.851092	      Tmin	     TSEOS TIP4P2005
-43.899858	270.499421	      Tmin	     TSEOS TIP4P2005
-43.982208	272.144264	      Tmin	     TSEOS TIP4P2005
-44.062282	273.785668	      Tmin	     TSEOS TIP4P2005
-44.140115	275.423691	      Tmin	     TSEOS TIP4P2005
-44.215727	277.058354	      Tmin	     TSEOS TIP4P2005
-44.289157	278.689724	      Tmin	     TSEOS TIP4P2005
-44.360420	280.317815	      Tmin	     TSEOS TIP4P2005
-44.429546	281.942675	      Tmin	     TSEOS TIP4P2005
-44.496577	283.564378	      Tmin	     TSEOS TIP4P2005
-44.561525	285.182935	      Tmin	     TSEOS TIP4P2005
-44.624418	286.798386	      Tmin	     TSEOS TIP4P2005
-44.685285	288.410784	      Tmin	     TSEOS TIP4P2005
-44.744147	290.020156	      Tmin	     TSEOS TIP4P2005
-44.801028	291.626539	      Tmin	     TSEOS TIP4P2005
-44.855956	293.229982	      Tmin	     TSEOS TIP4P2005
-44.908947	294.830503	      Tmin	     TSEOS TIP4P2005
-44.960033	296.428157	      Tmin	     TSEOS TIP4P2005
-45.009235	298.022982	      Tmin	     TSEOS TIP4P2005
-45.056569	299.614995	      Tmin	     TSEOS TIP4P2005
-45.102061	301.204241	      Tmin	     TSEOS TIP4P2005
-45.145728	302.790747	      Tmin	     TSEOS TIP4P2005
-45.187602	304.374566	      Tmin	     TSEOS TIP4P2005
-45.227695	305.955719	      Tmin	     TSEOS TIP4P2005
-45.266030	307.534240	      Tmin	     TSEOS TIP4P2005
-45.302624	309.110157	      Tmin	     TSEOS TIP4P2005
-45.337504	310.683519	      Tmin	     TSEOS TIP4P2005
-45.370683	312.254341	      Tmin	     TSEOS TIP4P2005
-45.402183	313.822666	      Tmin	     TSEOS TIP4P2005
-45.432020	315.388515	      Tmin	     TSEOS TIP4P2005
-45.460217	316.951934	      Tmin	     TSEOS TIP4P2005
-45.486794	318.512951	      Tmin	     TSEOS TIP4P2005
-45.511759	320.071579	      Tmin	     TSEOS TIP4P2005
-45.535139	321.627867	      Tmin	     TSEOS TIP4P2005
-45.556950	323.181844	      Tmin	     TSEOS TIP4P2005
-45.577209	324.733536	      Tmin	     TSEOS TIP4P2005
-45.595933	326.282972	      Tmin	     TSEOS TIP4P2005
-45.613133	327.830172	      Tmin	     TSEOS TIP4P2005
-45.628835	329.375183	      Tmin	     TSEOS TIP4P2005
-45.643052	330.918027	      Tmin	     TSEOS TIP4P2005
-45.655800	332.458732	      Tmin	     TSEOS TIP4P2005
-45.667094	333.997328	      Tmin	     TSEOS TIP4P2005
-45.676951	335.533839	      Tmin	     TSEOS TIP4P2005
-45.685386	337.068297	      Tmin	     TSEOS TIP4P2005
-45.692413	338.600722	      Tmin	     TSEOS TIP4P2005
-45.698053	340.131161	      Tmin	     TSEOS TIP4P2005
-45.702312	341.659616	      Tmin	     TSEOS TIP4P2005
-45.705212	343.186132	      Tmin	     TSEOS TIP4P2005
-45.706763	344.710726	      Tmin	     TSEOS TIP4P2005
-45.706982	346.233429	      Tmin	     TSEOS TIP4P2005
-45.705879	347.754259	      Tmin	     TSEOS TIP4P2005
-45.703478	349.273267	      Tmin	     TSEOS TIP4P2005
-45.699779	350.790442	      Tmin	     TSEOS TIP4P2005
-45.694805	352.305834	      Tmin	     TSEOS TIP4P2005
-45.688568	353.819467	      Tmin	     TSEOS TIP4P2005
-45.681081	355.331362	      Tmin	     TSEOS TIP4P2005
-45.672354	356.841541	      Tmin	     TSEOS TIP4P2005
-45.662400	358.350026	      Tmin	     TSEOS TIP4P2005
-45.651234	359.856849	      Tmin	     TSEOS TIP4P2005
-45.638875	361.362045	      Tmin	     TSEOS TIP4P2005
-45.625324	362.865618	      Tmin	     TSEOS TIP4P2005
-45.610594	364.367586	      Tmin	     TSEOS TIP4P2005
-45.594710	365.868010	      Tmin	     TSEOS TIP4P2005
-45.577671	367.366881	      Tmin	     TSEOS TIP4P2005
-45.559490	368.864224	      Tmin	     TSEOS TIP4P2005
-45.540187	370.360082	      Tmin	     TSEOS TIP4P2005
-45.519763	371.854454	      Tmin	     TSEOS TIP4P2005
-45.498233	373.347372	      Tmin	     TSEOS TIP4P2005
-45.475611	374.838863	      Tmin	     TSEOS TIP4P2005
-45.451910	376.328958	      Tmin	     TSEOS TIP4P2005
-45.427128	377.817645	      Tmin	     TSEOS TIP4P2005
-45.401292	379.304986	      Tmin	     TSEOS TIP4P2005
-45.374402	380.790978	      Tmin	     TSEOS TIP4P2005
-45.346471	382.275650	      Tmin	     TSEOS TIP4P2005
-45.317508	383.759016	      Tmin	     TSEOS TIP4P2005
-45.287528	385.241113	      Tmin	     TSEOS TIP4P2005
-45.256539	386.721955	      Tmin	     TSEOS TIP4P2005
-45.224544	388.201548	      Tmin	     TSEOS TIP4P2005
-45.191560	389.679929	      Tmin	     TSEOS TIP4P2005
-45.157596	391.157116	      Tmin	     TSEOS TIP4P2005
-45.122660	392.633127	      Tmin	     TSEOS TIP4P2005
-45.086768	394.107999	      Tmin	     TSEOS TIP4P2005
-45.049912	395.581706	      Tmin	     TSEOS TIP4P2005
-45.012110	397.054297	      Tmin	     TSEOS TIP4P2005
-44.973380	398.525805	      Tmin	     TSEOS TIP4P2005
-44.933720	399.996228	      Tmin	     TSEOS TIP4P2005
-44.893141	401.465589	      Tmin	     TSEOS TIP4P2005
-44.851653	402.933912	      Tmin	     TSEOS TIP4P2005
-44.809267	404.401220	      Tmin	     TSEOS TIP4P2005
-44.765983	405.867515	      Tmin	     TSEOS TIP4P2005
-44.721817	407.332831	      Tmin	     TSEOS TIP4P2005
-44.676772	408.797172	      Tmin	     TSEOS TIP4P2005
-44.630860	410.260568	      Tmin	     TSEOS TIP4P2005
-44.584086	411.723032	      Tmin	     TSEOS TIP4P2005
-44.536456	413.184576	      Tmin	     TSEOS TIP4P2005
-44.487982	414.645227	      Tmin	     TSEOS TIP4P2005
-44.438671	416.105002	      Tmin	     TSEOS TIP4P2005
-44.388527	417.563912	      Tmin	     TSEOS TIP4P2005
-44.337563	419.021981	      Tmin	     TSEOS TIP4P2005
-44.285773	420.479202	      Tmin	     TSEOS TIP4P2005
-44.233184	421.935637	      Tmin	     TSEOS TIP4P2005
-44.179783	423.391252	      Tmin	     TSEOS TIP4P2005
-44.125589	424.846094	      Tmin	     TSEOS TIP4P2005
-44.070608	426.300179	      Tmin	     TSEOS TIP4P2005
-44.014839	427.753504	      Tmin	     TSEOS TIP4P2005
-43.958300	429.206113	      Tmin	     TSEOS TIP4P2005
-43.900983	430.657982	      Tmin	     TSEOS TIP4P2005
-43.842906	432.109159	      Tmin	     TSEOS TIP4P2005
-43.784073	433.559655	      Tmin	     TSEOS TIP4P2005
-43.724484	435.009467	      Tmin	     TSEOS TIP4P2005
-43.664155	436.458638	      Tmin	     TSEOS TIP4P2005
-43.603084	437.907159	      Tmin	     TSEOS TIP4P2005
-43.541274	439.355042	      Tmin	     TSEOS TIP4P2005
-43.478739	440.802319	      Tmin	     TSEOS TIP4P2005
-43.415484	442.249006	      Tmin	     TSEOS TIP4P2005
-43.351510	443.695100	      Tmin	     TSEOS TIP4P2005
-43.286822	445.140620	      Tmin	     TSEOS TIP4P2005
-43.221430	446.585589	      Tmin	     TSEOS TIP4P2005
-43.155332	448.030003	      Tmin	     TSEOS TIP4P2005
-43.088541	449.473895	      Tmin	     TSEOS TIP4P2005
-43.021062	450.917278	      Tmin	     TSEOS TIP4P2005
-42.952887	452.360135	      Tmin	     TSEOS TIP4P2005
-42.884041	453.802527	      Tmin	     TSEOS TIP4P2005
-42.814509	455.244418	      Tmin	     TSEOS TIP4P2005
-42.744310	456.685856	      Tmin	     TSEOS TIP4P2005
-42.673443	458.126842	      Tmin	     TSEOS TIP4P2005
-42.601916	459.567395	      Tmin	     TSEOS TIP4P2005
-42.529724	461.007505	      Tmin	     TSEOS TIP4P2005
-42.456880	462.447206	      Tmin	     TSEOS TIP4P2005
-42.383389	463.886510	      Tmin	     TSEOS TIP4P2005
-42.309249	465.325415	      Tmin	     TSEOS TIP4P2005
-42.234470	466.763947	      Tmin	     TSEOS TIP4P2005
